Movie,Earnings
Zootopia,341264012
La La Land,151058124
Arrival,100501349
Manchesterbythesea,"47,695,120"
Captainamerica,"408,080,554"
Moana,"248,752,120"
Rogueone,"532,171,696"
Deadpool,"363,024,263"
Doctorstrange,"232,597,113"
Findingdory,"486,292,984"
Junglebook,"363,995,937"
Suicidesquad,"325,021,779"
Batman,"330,249,062"
Secretlifeofpets,"368,305,960"
Hacksaw Ridge,"67,115,062"
Fantasticbeast,"234,018,657"
Startrek,"158,804,470"
Moonlight,"27,850,912"
Jackie,"13,958,679"
Sully,"125,065,700"
Elle,"801,682"
