Week,Fantasticbeast
2015-11-22,1
2015-11-29,1
2015-12-06,1
2015-12-13,8
2015-12-20,3
2015-12-27,2
2016-01-03,2
2016-01-10,2
2016-01-17,2
2016-01-24,1
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,8
2016-04-17,2
2016-04-24,1
2016-05-01,2
2016-05-08,2
2016-05-15,1
2016-05-22,1
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,3
2016-06-26,3
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,6
2016-07-31,5
2016-08-07,4
2016-08-14,4
2016-08-21,2
2016-08-28,3
2016-09-04,3
2016-09-11,3
2016-09-18,3
2016-09-25,7
2016-10-02,6
2016-10-09,11
2016-10-16,11
2016-10-23,13
2016-10-30,25
2016-11-06,35
2016-11-13,100
