Category: All categories

Week,Deadpool: (Worldwide)
2015-02-15,1
2015-02-22,1
2015-03-01,1
2015-03-08,1
2015-03-15,1
2015-03-22,2
2015-03-29,4
2015-04-05,3
2015-04-12,3
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,2
2015-06-14,1
2015-06-21,1
2015-06-28,2
2015-07-05,3
2015-07-12,7
2015-07-19,3
2015-07-26,2
2015-08-02,14
2015-08-09,7
2015-08-16,4
2015-08-23,3
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,2
2015-11-29,2
2015-12-06,3
2015-12-13,4
2015-12-20,9
2015-12-27,9
2016-01-03,8
2016-01-10,12
2016-01-17,16
2016-01-24,17
2016-01-31,25
2016-02-07,100
