Week,Lalaland
2015-12-27,1
2016-01-03,1
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,1
2016-06-19,1
2016-06-26,0
2016-07-03,0
2016-07-10,5
2016-07-17,2
2016-07-24,1
2016-07-31,1
2016-08-07,1
2016-08-14,1
2016-08-21,3
2016-08-28,6
2016-09-04,5
2016-09-11,6
2016-09-18,4
2016-09-25,2
2016-10-02,2
2016-10-09,3
2016-10-16,3
2016-10-23,2
2016-10-30,6
2016-11-06,5
2016-11-13,6
2016-11-20,8
2016-11-27,9
2016-12-04,21
2016-12-11,53
2016-12-18,52
2016-12-25,100
