Category: All categories

Day,Captain America: Civil War: (Worldwide)
2015-11-06,2
2015-11-07,3
2015-11-08,2
2015-11-09,2
2015-11-10,2
2015-11-11,2
2015-11-12,2
2015-11-13,2
2015-11-14,2
2015-11-15,2
2015-11-16,2
2015-11-17,2
2015-11-18,2
2015-11-19,2
2015-11-20,2
2015-11-21,2
2015-11-22,2
2015-11-23,2
2015-11-24,2
2015-11-25,43
2015-11-26,29
2015-11-27,16
2015-11-28,13
2015-11-29,12
2015-11-30,9
2015-12-01,7
2015-12-02,6
2015-12-03,7
2015-12-04,6
2015-12-05,7
2015-12-06,6
2015-12-07,5
2015-12-08,4
2015-12-09,4
2015-12-10,4
2015-12-11,4
2015-12-12,4
2015-12-13,4
2015-12-14,4
2015-12-15,4
2015-12-16,3
2015-12-17,3
2015-12-18,4
2015-12-19,4
2015-12-20,4
2015-12-21,3
2015-12-22,3
2015-12-23,3
2015-12-24,3
2015-12-25,3
2015-12-26,4
2015-12-27,4
2015-12-28,3
2015-12-29,3
2015-12-30,4
2015-12-31,4
2016-01-01,5
2016-01-02,5
2016-01-03,5
2016-01-04,4
2016-01-05,4
2016-01-06,4
2016-01-07,3
2016-01-08,3
2016-01-09,4
2016-01-10,4
2016-01-11,3
2016-01-12,3
2016-01-13,3
2016-01-14,3
2016-01-15,3
2016-01-16,4
2016-01-17,4
2016-01-18,3
2016-01-19,3
2016-01-20,4
2016-01-21,3
2016-01-22,3
2016-01-23,4
2016-01-24,4
2016-01-25,3
2016-01-26,3
2016-01-27,3
2016-01-28,3
2016-01-29,3
2016-01-30,4
2016-01-31,4
2016-02-01,3
2016-02-02,3
2016-02-03,3
2016-02-04,3
2016-02-05,3
2016-02-06,4
2016-02-07,7
2016-02-08,15
2016-02-09,8
2016-02-10,6
2016-02-11,5
2016-02-12,5
2016-02-13,6
2016-02-14,6
2016-02-15,6
2016-02-16,5
2016-02-17,4
2016-02-18,4
2016-02-19,5
2016-02-20,5
2016-02-21,5
2016-02-22,5
2016-02-23,5
2016-02-24,4
2016-02-25,4
2016-02-26,4
2016-02-27,5
2016-02-28,5
2016-02-29,4
2016-03-01,4
2016-03-02,4
2016-03-03,5
2016-03-04,5
2016-03-05,5
2016-03-06,5
2016-03-07,5
2016-03-08,5
2016-03-09,7
2016-03-10,49
2016-03-11,67
2016-03-12,39
2016-03-13,28
2016-03-14,17
2016-03-15,13
2016-03-16,12
2016-03-17,10
2016-03-18,10
2016-03-19,11
2016-03-20,11
2016-03-21,9
2016-03-22,8
2016-03-23,8
2016-03-24,9
2016-03-25,12
2016-03-26,12
2016-03-27,13
2016-03-28,11
2016-03-29,9
2016-03-30,9
2016-03-31,9
2016-04-01,10
2016-04-02,10
2016-04-03,11
2016-04-04,10
2016-04-05,9
2016-04-06,9
2016-04-07,9
2016-04-08,10
2016-04-09,15
2016-04-10,16
2016-04-11,16
2016-04-12,15
2016-04-13,26
2016-04-14,28
2016-04-15,28
2016-04-16,31
2016-04-17,29
2016-04-18,25
2016-04-19,24
2016-04-20,18
2016-04-21,17
2016-04-22,18
2016-04-23,21
2016-04-24,23
2016-04-25,20
2016-04-26,26
2016-04-27,41
2016-04-28,49
2016-04-29,61
2016-04-30,76
2016-05-01,73
2016-05-02,61
2016-05-03,50
2016-05-04,46
2016-05-05,61
2016-05-06,100
