Day,Deadpool
2015-08-12,3
2015-08-13,3
2015-08-14,3
2015-08-15,3
2015-08-16,3
2015-08-17,2
2015-08-18,2
2015-08-19,2
2015-08-20,2
2015-08-21,2
2015-08-22,2
2015-08-23,2
2015-08-24,2
2015-08-25,2
2015-08-26,1
2015-08-27,1
2015-08-28,1
2015-08-29,2
2015-08-30,2
2015-08-31,1
2015-09-01,1
2015-09-02,1
2015-09-03,1
2015-09-04,1
2015-09-05,2
2015-09-06,2
2015-09-07,1
2015-09-08,1
2015-09-09,1
2015-09-10,1
2015-09-11,1
2015-09-12,1
2015-09-13,1
2015-09-14,1
2015-09-15,1
2015-09-16,1
2015-09-17,1
2015-09-18,1
2015-09-19,1
2015-09-20,1
2015-09-21,1
2015-09-22,1
2015-09-23,1
2015-09-24,1
2015-09-25,1
2015-09-26,1
2015-09-27,1
2015-09-28,1
2015-09-29,1
2015-09-30,1
2015-10-01,1
2015-10-02,1
2015-10-03,1
2015-10-04,1
2015-10-05,1
2015-10-06,1
2015-10-07,1
2015-10-08,1
2015-10-09,1
2015-10-10,1
2015-10-11,1
2015-10-12,1
2015-10-13,1
2015-10-14,1
2015-10-15,1
2015-10-16,1
2015-10-17,1
2015-10-18,1
2015-10-19,1
2015-10-20,1
2015-10-21,1
2015-10-22,1
2015-10-23,1
2015-10-24,1
2015-10-25,1
2015-10-26,1
2015-10-27,1
2015-10-28,1
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-11-01,1
2015-11-02,1
2015-11-03,1
2015-11-04,2
2015-11-05,1
2015-11-06,1
2015-11-07,2
2015-11-08,1
2015-11-09,1
2015-11-10,1
2015-11-11,1
2015-11-12,1
2015-11-13,1
2015-11-14,1
2015-11-15,1
2015-11-16,1
2015-11-17,1
2015-11-18,1
2015-11-19,1
2015-11-20,1
2015-11-21,1
2015-11-22,1
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-26,1
2015-11-27,2
2015-11-28,2
2015-11-29,2
2015-11-30,1
2015-12-01,1
2015-12-02,1
2015-12-03,2
2015-12-04,2
2015-12-05,2
2015-12-06,2
2015-12-07,1
2015-12-08,1
2015-12-09,1
2015-12-10,1
2015-12-11,1
2015-12-12,2
2015-12-13,2
2015-12-14,2
2015-12-15,2
2015-12-16,2
2015-12-17,2
2015-12-18,2
2015-12-19,2
2015-12-20,2
2015-12-21,2
2015-12-22,3
2015-12-23,3
2015-12-24,4
2015-12-25,13
2015-12-26,11
2015-12-27,7
2015-12-28,5
2015-12-29,5
2015-12-30,4
2015-12-31,4
2016-01-01,5
2016-01-02,5
2016-01-03,5
2016-01-04,4
2016-01-05,4
2016-01-06,5
2016-01-07,4
2016-01-08,4
2016-01-09,5
2016-01-10,5
2016-01-11,5
2016-01-12,8
2016-01-13,8
2016-01-14,7
2016-01-15,7
2016-01-16,7
2016-01-17,8
2016-01-18,8
2016-01-19,11
2016-01-20,10
2016-01-21,8
2016-01-22,10
2016-01-23,10
2016-01-24,11
2016-01-25,10
2016-01-26,9
2016-01-27,9
2016-01-28,9
2016-01-29,11
2016-01-30,15
2016-01-31,14
2016-02-01,13
2016-02-02,13
2016-02-03,13
2016-02-04,14
2016-02-05,18
2016-02-06,21
2016-02-07,29
2016-02-08,29
2016-02-09,32
2016-02-10,43
2016-02-11,59
2016-02-12,100
