Category: All categories

Day,Doctor Strange: (Worldwide)
2016-05-04,3
2016-05-05,2
2016-05-06,3
2016-05-07,4
2016-05-08,3
2016-05-09,2
2016-05-10,3
2016-05-11,2
2016-05-12,2
2016-05-13,2
2016-05-14,3
2016-05-15,2
2016-05-16,2
2016-05-17,2
2016-05-18,2
2016-05-19,2
2016-05-20,2
2016-05-21,2
2016-05-22,2
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,2
2016-05-27,2
2016-05-28,1
2016-05-29,2
2016-05-30,1
2016-05-31,2
2016-06-01,1
2016-06-02,1
2016-06-03,2
2016-06-04,2
2016-06-05,2
2016-06-06,2
2016-06-07,2
2016-06-08,2
2016-06-09,2
2016-06-10,2
2016-06-11,2
2016-06-12,1
2016-06-13,2
2016-06-14,1
2016-06-15,2
2016-06-16,1
2016-06-17,2
2016-06-18,2
2016-06-19,2
2016-06-20,2
2016-06-21,2
2016-06-22,2
2016-06-23,1
2016-06-24,1
2016-06-25,2
2016-06-26,2
2016-06-27,1
2016-06-28,1
2016-06-29,2
2016-06-30,2
2016-07-01,1
2016-07-02,2
2016-07-03,2
2016-07-04,2
2016-07-05,1
2016-07-06,1
2016-07-07,2
2016-07-08,2
2016-07-09,2
2016-07-10,2
2016-07-11,1
2016-07-12,2
2016-07-13,2
2016-07-14,2
2016-07-15,1
2016-07-16,2
2016-07-17,2
2016-07-18,2
2016-07-19,1
2016-07-20,2
2016-07-21,2
2016-07-22,1
2016-07-23,3
2016-07-24,8
2016-07-25,6
2016-07-26,4
2016-07-27,3
2016-07-28,3
2016-07-29,3
2016-07-30,3
2016-07-31,4
2016-08-01,2
2016-08-02,1
2016-08-03,2
2016-08-04,3
2016-08-05,3
2016-08-06,3
2016-08-07,4
2016-08-08,2
2016-08-09,3
2016-08-10,3
2016-08-11,2
2016-08-12,3
2016-08-13,3
2016-08-14,3
2016-08-15,2
2016-08-16,3
2016-08-17,3
2016-08-18,2
2016-08-19,2
2016-08-20,2
2016-08-21,2
2016-08-22,2
2016-08-23,3
2016-08-24,2
2016-08-25,2
2016-08-26,2
2016-08-27,3
2016-08-28,2
2016-08-29,3
2016-08-30,2
2016-08-31,2
2016-09-01,3
2016-09-02,2
2016-09-03,2
2016-09-04,3
2016-09-05,3
2016-09-06,3
2016-09-07,2
2016-09-08,2
2016-09-09,2
2016-09-10,3
2016-09-11,4
2016-09-12,3
2016-09-13,3
2016-09-14,2
2016-09-15,3
2016-09-16,2
2016-09-17,3
2016-09-18,3
2016-09-19,3
2016-09-20,2
2016-09-21,3
2016-09-22,2
2016-09-23,3
2016-09-24,5
2016-09-25,4
2016-09-26,3
2016-09-27,3
2016-09-28,5
2016-09-29,4
2016-09-30,6
2016-10-01,5
2016-10-02,6
2016-10-03,4
2016-10-04,4
2016-10-05,4
2016-10-06,6
2016-10-07,5
2016-10-08,7
2016-10-09,8
2016-10-10,8
2016-10-11,6
2016-10-12,6
2016-10-13,7
2016-10-14,9
2016-10-15,8
2016-10-16,9
2016-10-17,8
2016-10-18,7
2016-10-19,8
2016-10-20,10
2016-10-21,14
2016-10-22,15
2016-10-23,19
2016-10-24,16
2016-10-25,19
2016-10-26,28
2016-10-27,36
2016-10-28,47
2016-10-29,71
2016-10-30,79
2016-10-31,60
2016-11-01,60
2016-11-02,61
2016-11-03,67
2016-11-04,100
