Day,Moana
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,2
2016-05-27,2
2016-05-28,2
2016-05-29,2
2016-05-30,2
2016-05-31,3
2016-06-01,2
2016-06-02,2
2016-06-03,2
2016-06-04,2
2016-06-05,2
2016-06-06,2
2016-06-07,2
2016-06-08,4
2016-06-09,6
2016-06-10,3
2016-06-11,3
2016-06-12,6
2016-06-13,25
2016-06-14,17
2016-06-15,11
2016-06-16,10
2016-06-17,8
2016-06-18,8
2016-06-19,11
2016-06-20,6
2016-06-21,5
2016-06-22,5
2016-06-23,5
2016-06-24,5
2016-06-25,5
2016-06-26,5
2016-06-27,5
2016-06-28,5
2016-06-29,5
2016-06-30,6
2016-07-01,5
2016-07-02,5
2016-07-03,5
2016-07-04,4
2016-07-05,4
2016-07-06,3
2016-07-07,3
2016-07-08,3
2016-07-09,3
2016-07-10,3
2016-07-11,3
2016-07-12,3
2016-07-13,3
2016-07-14,3
2016-07-15,3
2016-07-16,3
2016-07-17,3
2016-07-18,3
2016-07-19,3
2016-07-20,10
2016-07-21,19
2016-07-22,26
2016-07-23,23
2016-07-24,20
2016-07-25,14
2016-07-26,13
2016-07-27,10
2016-07-28,10
2016-07-29,12
2016-07-30,13
2016-07-31,12
2016-08-01,9
2016-08-02,7
2016-08-03,7
2016-08-04,6
2016-08-05,7
2016-08-06,9
2016-08-07,10
2016-08-08,13
2016-08-09,8
2016-08-10,6
2016-08-11,6
2016-08-12,6
2016-08-13,8
2016-08-14,7
2016-08-15,6
2016-08-16,5
2016-08-17,5
2016-08-18,4
2016-08-19,5
2016-08-20,6
2016-08-21,6
2016-08-22,5
2016-08-23,6
2016-08-24,6
2016-08-25,6
2016-08-26,6
2016-08-27,7
2016-08-28,7
2016-08-29,5
2016-08-30,5
2016-08-31,5
2016-09-01,4
2016-09-02,4
2016-09-03,5
2016-09-04,5
2016-09-05,4
2016-09-06,4
2016-09-07,4
2016-09-08,5
2016-09-09,6
2016-09-10,6
2016-09-11,6
2016-09-12,7
2016-09-13,10
2016-09-14,8
2016-09-15,14
2016-09-16,16
2016-09-17,14
2016-09-18,13
2016-09-19,10
2016-09-20,11
2016-09-21,9
2016-09-22,11
2016-09-23,11
2016-09-24,12
2016-09-25,12
2016-09-26,7
2016-09-27,7
2016-09-28,6
2016-09-29,7
2016-09-30,7
2016-10-01,9
2016-10-02,9
2016-10-03,7
2016-10-04,6
2016-10-05,6
2016-10-06,6
2016-10-07,6
2016-10-08,8
2016-10-09,8
2016-10-10,7
2016-10-11,6
2016-10-12,6
2016-10-13,6
2016-10-14,6
2016-10-15,8
2016-10-16,8
2016-10-17,7
2016-10-18,7
2016-10-19,7
2016-10-20,8
2016-10-21,8
2016-10-22,10
2016-10-23,10
2016-10-24,9
2016-10-25,9
2016-10-26,8
2016-10-27,8
2016-10-28,9
2016-10-29,13
2016-10-30,12
2016-10-31,9
2016-11-01,10
2016-11-02,11
2016-11-03,11
2016-11-04,12
2016-11-05,14
2016-11-06,15
2016-11-07,13
2016-11-08,15
2016-11-09,11
2016-11-10,14
2016-11-11,16
2016-11-12,22
2016-11-13,23
2016-11-14,19
2016-11-15,25
2016-11-16,25
2016-11-17,24
2016-11-18,33
2016-11-19,46
2016-11-20,48
2016-11-21,47
2016-11-22,56
2016-11-23,100
