Day,Rogueone
2016-06-16,0
2016-06-17,0
2016-06-18,1
2016-06-19,1
2016-06-20,0
2016-06-21,1
2016-06-22,2
2016-06-23,2
2016-06-24,2
2016-06-25,1
2016-06-26,1
2016-06-27,1
2016-06-28,1
2016-06-29,1
2016-06-30,1
2016-07-01,1
2016-07-02,1
2016-07-03,1
2016-07-04,1
2016-07-05,1
2016-07-06,1
2016-07-07,1
2016-07-08,1
2016-07-09,1
2016-07-10,1
2016-07-11,1
2016-07-12,1
2016-07-13,1
2016-07-14,1
2016-07-15,7
2016-07-16,10
2016-07-17,5
2016-07-18,3
2016-07-19,2
2016-07-20,2
2016-07-21,2
2016-07-22,1
2016-07-23,2
2016-07-24,1
2016-07-25,1
2016-07-26,1
2016-07-27,1
2016-07-28,1
2016-07-29,1
2016-07-30,1
2016-07-31,1
2016-08-01,1
2016-08-02,1
2016-08-03,1
2016-08-04,1
2016-08-05,1
2016-08-06,1
2016-08-07,1
2016-08-08,1
2016-08-09,2
2016-08-10,2
2016-08-11,4
2016-08-12,22
2016-08-13,9
2016-08-14,4
2016-08-15,3
2016-08-16,2
2016-08-17,2
2016-08-18,1
2016-08-19,2
2016-08-20,2
2016-08-21,2
2016-08-22,1
2016-08-23,1
2016-08-24,1
2016-08-25,1
2016-08-26,1
2016-08-27,1
2016-08-28,1
2016-08-29,1
2016-08-30,1
2016-08-31,1
2016-09-01,1
2016-09-02,1
2016-09-03,1
2016-09-04,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-08,1
2016-09-09,1
2016-09-10,1
2016-09-11,1
2016-09-12,1
2016-09-13,1
2016-09-14,1
2016-09-15,1
2016-09-16,1
2016-09-17,1
2016-09-18,1
2016-09-19,1
2016-09-20,1
2016-09-21,1
2016-09-22,1
2016-09-23,1
2016-09-24,1
2016-09-25,1
2016-09-26,1
2016-09-27,1
2016-09-28,1
2016-09-29,1
2016-09-30,2
2016-10-01,2
2016-10-02,2
2016-10-03,1
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-07,1
2016-10-08,2
2016-10-09,1
2016-10-10,1
2016-10-11,1
2016-10-12,2
2016-10-13,13
2016-10-14,8
2016-10-15,5
2016-10-16,4
2016-10-17,3
2016-10-18,3
2016-10-19,2
2016-10-20,2
2016-10-21,2
2016-10-22,2
2016-10-23,2
2016-10-24,2
2016-10-25,2
2016-10-26,2
2016-10-27,2
2016-10-28,2
2016-10-29,2
2016-10-30,2
2016-10-31,2
2016-11-01,2
2016-11-02,2
2016-11-03,2
2016-11-04,2
2016-11-05,2
2016-11-06,3
2016-11-07,4
2016-11-08,2
2016-11-09,2
2016-11-10,2
2016-11-11,4
2016-11-12,4
2016-11-13,3
2016-11-14,3
2016-11-15,3
2016-11-16,3
2016-11-17,3
2016-11-18,3
2016-11-19,4
2016-11-20,5
2016-11-21,5
2016-11-22,5
2016-11-23,4
2016-11-24,4
2016-11-25,6
2016-11-26,6
2016-11-27,6
2016-11-28,9
2016-11-29,7
2016-11-30,6
2016-12-01,6
2016-12-02,7
2016-12-03,8
2016-12-04,8
2016-12-05,8
2016-12-06,9
2016-12-07,9
2016-12-08,10
2016-12-09,10
2016-12-10,12
2016-12-11,19
2016-12-12,18
2016-12-13,23
2016-12-14,40
2016-12-15,71
2016-12-16,100
