Day,Secretlifeofpets
2016-01-08,2
2016-01-09,3
2016-01-10,3
2016-01-11,2
2016-01-12,2
2016-01-13,2
2016-01-14,2
2016-01-15,5
2016-01-16,6
2016-01-17,5
2016-01-18,3
2016-01-19,3
2016-01-20,2
2016-01-21,2
2016-01-22,2
2016-01-23,3
2016-01-24,3
2016-01-25,2
2016-01-26,2
2016-01-27,2
2016-01-28,4
2016-01-29,6
2016-01-30,7
2016-01-31,6
2016-02-01,4
2016-02-02,3
2016-02-03,3
2016-02-04,2
2016-02-05,3
2016-02-06,3
2016-02-07,4
2016-02-08,7
2016-02-09,4
2016-02-10,3
2016-02-11,2
2016-02-12,3
2016-02-13,4
2016-02-14,3
2016-02-15,2
2016-02-16,2
2016-02-17,2
2016-02-18,3
2016-02-19,2
2016-02-20,3
2016-02-21,4
2016-02-22,2
2016-02-23,2
2016-02-24,2
2016-02-25,2
2016-02-26,2
2016-02-27,3
2016-02-28,3
2016-02-29,2
2016-03-01,2
2016-03-02,2
2016-03-03,2
2016-03-04,3
2016-03-05,4
2016-03-06,4
2016-03-07,3
2016-03-08,2
2016-03-09,2
2016-03-10,2
2016-03-11,3
2016-03-12,4
2016-03-13,4
2016-03-14,2
2016-03-15,2
2016-03-16,2
2016-03-17,2
2016-03-18,3
2016-03-19,4
2016-03-20,4
2016-03-21,2
2016-03-22,2
2016-03-23,2
2016-03-24,3
2016-03-25,3
2016-03-26,4
2016-03-27,4
2016-03-28,3
2016-03-29,2
2016-03-30,2
2016-03-31,2
2016-04-01,2
2016-04-02,3
2016-04-03,3
2016-04-04,2
2016-04-05,1
2016-04-06,3
2016-04-07,2
2016-04-08,2
2016-04-09,3
2016-04-10,3
2016-04-11,3
2016-04-12,4
2016-04-13,3
2016-04-14,3
2016-04-15,3
2016-04-16,5
2016-04-17,5
2016-04-18,3
2016-04-19,2
2016-04-20,2
2016-04-21,2
2016-04-22,2
2016-04-23,4
2016-04-24,4
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,3
2016-04-30,4
2016-05-01,4
2016-05-02,2
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,3
2016-05-07,3
2016-05-08,4
2016-05-09,3
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,3
2016-05-14,4
2016-05-15,4
2016-05-16,3
2016-05-17,2
2016-05-18,2
2016-05-19,3
2016-05-20,4
2016-05-21,5
2016-05-22,5
2016-05-23,4
2016-05-24,3
2016-05-25,4
2016-05-26,4
2016-05-27,5
2016-05-28,6
2016-05-29,6
2016-05-30,5
2016-05-31,5
2016-06-01,6
2016-06-02,6
2016-06-03,7
2016-06-04,8
2016-06-05,8
2016-06-06,7
2016-06-07,6
2016-06-08,6
2016-06-09,7
2016-06-10,8
2016-06-11,12
2016-06-12,12
2016-06-13,9
2016-06-14,11
2016-06-15,11
2016-06-16,11
2016-06-17,15
2016-06-18,21
2016-06-19,22
2016-06-20,14
2016-06-21,14
2016-06-22,13
2016-06-23,15
2016-06-24,19
2016-06-25,30
2016-06-26,27
2016-06-27,17
2016-06-28,20
2016-06-29,19
2016-06-30,19
2016-07-01,25
2016-07-02,33
2016-07-03,32
2016-07-04,25
2016-07-05,31
2016-07-06,36
2016-07-07,54
2016-07-08,100
