Day,Startrek
2016-01-22,2
2016-01-23,2
2016-01-24,1
2016-01-25,1
2016-01-26,2
2016-01-27,1
2016-01-28,1
2016-01-29,1
2016-01-30,1
2016-01-31,2
2016-02-01,1
2016-02-02,1
2016-02-03,1
2016-02-04,1
2016-02-05,1
2016-02-06,1
2016-02-07,2
2016-02-08,1
2016-02-09,1
2016-02-10,1
2016-02-11,1
2016-02-12,1
2016-02-13,1
2016-02-14,2
2016-02-15,2
2016-02-16,1
2016-02-17,2
2016-02-18,2
2016-02-19,1
2016-02-20,1
2016-02-21,2
2016-02-22,1
2016-02-23,1
2016-02-24,1
2016-02-25,1
2016-02-26,1
2016-02-27,1
2016-02-28,2
2016-02-29,1
2016-03-01,1
2016-03-02,1
2016-03-03,1
2016-03-04,1
2016-03-05,1
2016-03-06,2
2016-03-07,1
2016-03-08,1
2016-03-09,1
2016-03-10,2
2016-03-11,1
2016-03-12,2
2016-03-13,2
2016-03-14,1
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,1
2016-03-19,2
2016-03-20,2
2016-03-21,1
2016-03-22,1
2016-03-23,1
2016-03-24,1
2016-03-25,2
2016-03-26,1
2016-03-27,2
2016-03-28,2
2016-03-29,1
2016-03-30,1
2016-03-31,1
2016-04-01,1
2016-04-02,2
2016-04-03,2
2016-04-04,1
2016-04-05,1
2016-04-06,1
2016-04-07,1
2016-04-08,2
2016-04-09,2
2016-04-10,2
2016-04-11,2
2016-04-12,2
2016-04-13,1
2016-04-14,1
2016-04-15,2
2016-04-16,2
2016-04-17,2
2016-04-18,2
2016-04-19,1
2016-04-20,2
2016-04-21,1
2016-04-22,2
2016-04-23,1
2016-04-24,1
2016-04-25,1
2016-04-26,1
2016-04-27,1
2016-04-28,2
2016-04-29,2
2016-04-30,2
2016-05-01,2
2016-05-02,2
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,2
2016-05-07,2
2016-05-08,2
2016-05-09,2
2016-05-10,2
2016-05-11,1
2016-05-12,2
2016-05-13,2
2016-05-14,2
2016-05-15,3
2016-05-16,2
2016-05-17,2
2016-05-18,2
2016-05-19,3
2016-05-20,4
2016-05-21,22
2016-05-22,17
2016-05-23,11
2016-05-24,8
2016-05-25,7
2016-05-26,5
2016-05-27,4
2016-05-28,4
2016-05-29,4
2016-05-30,4
2016-05-31,4
2016-06-01,4
2016-06-02,3
2016-06-03,4
2016-06-04,4
2016-06-05,4
2016-06-06,3
2016-06-07,3
2016-06-08,3
2016-06-09,2
2016-06-10,4
2016-06-11,4
2016-06-12,4
2016-06-13,3
2016-06-14,4
2016-06-15,3
2016-06-16,3
2016-06-17,4
2016-06-18,4
2016-06-19,11
2016-06-20,11
2016-06-21,5
2016-06-22,5
2016-06-23,5
2016-06-24,5
2016-06-25,6
2016-06-26,7
2016-06-27,9
2016-06-28,10
2016-06-29,8
2016-06-30,8
2016-07-01,9
2016-07-02,10
2016-07-03,10
2016-07-04,9
2016-07-05,8
2016-07-06,8
2016-07-07,10
2016-07-08,12
2016-07-09,14
2016-07-10,15
2016-07-11,11
2016-07-12,13
2016-07-13,15
2016-07-14,16
2016-07-15,19
2016-07-16,29
2016-07-17,30
2016-07-18,26
2016-07-19,31
2016-07-20,44
2016-07-21,68
2016-07-22,100
