Day,Zootopia
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,1
2015-09-24,1
2015-09-25,1
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,1
2015-10-11,0
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,0
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,1
2015-10-26,1
2015-10-27,1
2015-10-28,1
2015-10-29,1
2015-10-30,1
2015-10-31,1
2015-11-01,1
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,1
2015-11-06,1
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,1
2015-11-15,1
2015-11-16,1
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,1
2015-11-23,3
2015-11-24,8
2015-11-25,8
2015-11-26,7
2015-11-27,5
2015-11-28,5
2015-11-29,5
2015-11-30,3
2015-12-01,3
2015-12-02,3
2015-12-03,3
2015-12-04,3
2015-12-05,3
2015-12-06,3
2015-12-07,2
2015-12-08,2
2015-12-09,2
2015-12-10,2
2015-12-11,3
2015-12-12,2
2015-12-13,3
2015-12-14,2
2015-12-15,2
2015-12-16,2
2015-12-17,2
2015-12-18,4
2015-12-19,5
2015-12-20,5
2015-12-21,5
2015-12-22,5
2015-12-23,5
2015-12-24,7
2015-12-25,7
2015-12-26,6
2015-12-27,6
2015-12-28,5
2015-12-29,5
2015-12-30,4
2015-12-31,8
2016-01-01,15
2016-01-02,12
2016-01-03,9
2016-01-04,8
2016-01-05,8
2016-01-06,7
2016-01-07,7
2016-01-08,7
2016-01-09,8
2016-01-10,7
2016-01-11,5
2016-01-12,5
2016-01-13,6
2016-01-14,6
2016-01-15,7
2016-01-16,8
2016-01-17,8
2016-01-18,7
2016-01-19,5
2016-01-20,5
2016-01-21,5
2016-01-22,6
2016-01-23,8
2016-01-24,8
2016-01-25,6
2016-01-26,6
2016-01-27,7
2016-01-28,7
2016-01-29,9
2016-01-30,12
2016-01-31,11
2016-02-01,9
2016-02-02,8
2016-02-03,8
2016-02-04,9
2016-02-05,9
2016-02-06,13
2016-02-07,14
2016-02-08,11
2016-02-09,11
2016-02-10,13
2016-02-11,12
2016-02-12,16
2016-02-13,23
2016-02-14,25
2016-02-15,18
2016-02-16,19
2016-02-17,23
2016-02-18,29
2016-02-19,35
2016-02-20,49
2016-02-21,52
2016-02-22,36
2016-02-23,32
2016-02-24,33
2016-02-25,36
2016-02-26,43
2016-02-27,64
2016-02-28,68
2016-02-29,43
2016-03-01,41
2016-03-02,46
2016-03-03,58
2016-03-04,100
