Category: All categories

Day,Captain America: Civil War: (Worldwide)
2016-02-06,4
2016-02-07,6
2016-02-08,14
2016-02-09,8
2016-02-10,6
2016-02-11,5
2016-02-12,5
2016-02-13,6
2016-02-14,6
2016-02-15,6
2016-02-16,5
2016-02-17,4
2016-02-18,4
2016-02-19,5
2016-02-20,5
2016-02-21,5
2016-02-22,5
2016-02-23,5
2016-02-24,4
2016-02-25,4
2016-02-26,4
2016-02-27,5
2016-02-28,5
2016-02-29,4
2016-03-01,4
2016-03-02,5
2016-03-03,5
2016-03-04,5
2016-03-05,5
2016-03-06,5
2016-03-07,5
2016-03-08,5
2016-03-09,7
2016-03-10,49
2016-03-11,67
2016-03-12,39
2016-03-13,28
2016-03-14,17
2016-03-15,14
2016-03-16,11
2016-03-17,10
2016-03-18,10
2016-03-19,11
2016-03-20,11
2016-03-21,9
2016-03-22,7
2016-03-23,8
2016-03-24,10
2016-03-25,12
2016-03-26,12
2016-03-27,13
2016-03-28,11
2016-03-29,9
2016-03-30,9
2016-03-31,9
2016-04-01,10
2016-04-02,10
2016-04-03,11
2016-04-04,10
2016-04-05,9
2016-04-06,9
2016-04-07,9
2016-04-08,10
2016-04-09,15
2016-04-10,16
2016-04-11,16
2016-04-12,15
2016-04-13,26
2016-04-14,28
2016-04-15,28
2016-04-16,32
2016-04-17,30
2016-04-18,25
2016-04-19,24
2016-04-20,18
2016-04-21,17
2016-04-22,18
2016-04-23,20
2016-04-24,23
2016-04-25,21
2016-04-26,27
2016-04-27,41
2016-04-28,48
2016-04-29,61
2016-04-30,76
2016-05-01,73
2016-05-02,60
2016-05-03,51
2016-05-04,45
2016-05-05,60
2016-05-06,100
