Category: All categories

Day,Doctor Strange: (Worldwide)
2016-08-04,2
2016-08-05,3
2016-08-06,3
2016-08-07,4
2016-08-08,3
2016-08-09,4
2016-08-10,3
2016-08-11,2
2016-08-12,3
2016-08-13,3
2016-08-14,2
2016-08-15,2
2016-08-16,3
2016-08-17,2
2016-08-18,2
2016-08-19,2
2016-08-20,2
2016-08-21,2
2016-08-22,2
2016-08-23,2
2016-08-24,2
2016-08-25,3
2016-08-26,2
2016-08-27,3
2016-08-28,2
2016-08-29,3
2016-08-30,2
2016-08-31,2
2016-09-01,3
2016-09-02,3
2016-09-03,2
2016-09-04,3
2016-09-05,3
2016-09-06,3
2016-09-07,2
2016-09-08,2
2016-09-09,2
2016-09-10,3
2016-09-11,4
2016-09-12,3
2016-09-13,3
2016-09-14,2
2016-09-15,3
2016-09-16,3
2016-09-17,4
2016-09-18,4
2016-09-19,3
2016-09-20,3
2016-09-21,3
2016-09-22,3
2016-09-23,3
2016-09-24,5
2016-09-25,4
2016-09-26,3
2016-09-27,3
2016-09-28,4
2016-09-29,4
2016-09-30,4
2016-10-01,6
2016-10-02,6
2016-10-03,4
2016-10-04,5
2016-10-05,4
2016-10-06,6
2016-10-07,4
2016-10-08,7
2016-10-09,10
2016-10-10,8
2016-10-11,5
2016-10-12,6
2016-10-13,8
2016-10-14,9
2016-10-15,10
2016-10-16,10
2016-10-17,7
2016-10-18,8
2016-10-19,9
2016-10-20,10
2016-10-21,15
2016-10-22,14
2016-10-23,20
2016-10-24,17
2016-10-25,19
2016-10-26,30
2016-10-27,39
2016-10-28,49
2016-10-29,77
2016-10-30,83
2016-10-31,62
2016-11-01,61
2016-11-02,61
2016-11-03,72
2016-11-04,100
