Day,Junglebook
2016-01-15,2
2016-01-16,3
2016-01-17,3
2016-01-18,2
2016-01-19,2
2016-01-20,2
2016-01-21,2
2016-01-22,2
2016-01-23,2
2016-01-24,3
2016-01-25,2
2016-01-26,2
2016-01-27,2
2016-01-28,2
2016-01-29,2
2016-01-30,2
2016-01-31,3
2016-02-01,2
2016-02-02,2
2016-02-03,2
2016-02-04,2
2016-02-05,3
2016-02-06,3
2016-02-07,6
2016-02-08,28
2016-02-09,12
2016-02-10,8
2016-02-11,6
2016-02-12,6
2016-02-13,7
2016-02-14,6
2016-02-15,5
2016-02-16,4
2016-02-17,3
2016-02-18,4
2016-02-19,4
2016-02-20,5
2016-02-21,6
2016-02-22,6
2016-02-23,4
2016-02-24,3
2016-02-25,3
2016-02-26,3
2016-02-27,5
2016-02-28,5
2016-02-29,6
2016-03-01,4
2016-03-02,3
2016-03-03,4
2016-03-04,4
2016-03-05,5
2016-03-06,5
2016-03-07,4
2016-03-08,4
2016-03-09,3
2016-03-10,4
2016-03-11,5
2016-03-12,6
2016-03-13,7
2016-03-14,6
2016-03-15,9
2016-03-16,8
2016-03-17,7
2016-03-18,9
2016-03-19,12
2016-03-20,16
2016-03-21,16
2016-03-22,21
2016-03-23,19
2016-03-24,16
2016-03-25,21
2016-03-26,22
2016-03-27,19
2016-03-28,17
2016-03-29,15
2016-03-30,19
2016-03-31,18
2016-04-01,23
2016-04-02,30
2016-04-03,33
2016-04-04,26
2016-04-05,29
2016-04-06,35
2016-04-07,49
2016-04-08,70
2016-04-09,94
2016-04-10,94
2016-04-11,73
2016-04-12,65
2016-04-13,69
2016-04-14,76
2016-04-15,100
