Day,Lalaland
2016-09-25,3
2016-09-26,2
2016-09-27,2
2016-09-28,2
2016-09-29,2
2016-09-30,2
2016-10-01,3
2016-10-02,2
2016-10-03,1
2016-10-04,2
2016-10-05,2
2016-10-06,2
2016-10-07,2
2016-10-08,3
2016-10-09,2
2016-10-10,2
2016-10-11,3
2016-10-12,3
2016-10-13,3
2016-10-14,3
2016-10-15,3
2016-10-16,4
2016-10-17,2
2016-10-18,2
2016-10-19,3
2016-10-20,3
2016-10-21,2
2016-10-22,3
2016-10-23,3
2016-10-24,2
2016-10-25,2
2016-10-26,2
2016-10-27,2
2016-10-28,2
2016-10-29,2
2016-10-30,3
2016-10-31,2
2016-11-01,2
2016-11-02,3
2016-11-03,8
2016-11-04,11
2016-11-05,8
2016-11-06,7
2016-11-07,6
2016-11-08,4
2016-11-09,3
2016-11-10,4
2016-11-11,5
2016-11-12,6
2016-11-13,6
2016-11-14,6
2016-11-15,5
2016-11-16,6
2016-11-17,5
2016-11-18,6
2016-11-19,5
2016-11-20,8
2016-11-21,6
2016-11-22,10
2016-11-23,8
2016-11-24,9
2016-11-25,8
2016-11-26,8
2016-11-27,8
2016-11-28,8
2016-11-29,6
2016-11-30,6
2016-12-01,10
2016-12-02,15
2016-12-03,15
2016-12-04,13
2016-12-05,12
2016-12-06,12
2016-12-07,16
2016-12-08,24
2016-12-09,38
2016-12-10,37
2016-12-11,38
2016-12-12,87
2016-12-13,54
2016-12-14,37
2016-12-15,38
2016-12-16,52
2016-12-17,65
2016-12-18,60
2016-12-19,47
2016-12-20,42
2016-12-21,45
2016-12-22,48
2016-12-23,58
2016-12-24,65
2016-12-25,100
