Day,Moana
2016-08-23,6
2016-08-24,6
2016-08-25,7
2016-08-26,6
2016-08-27,7
2016-08-28,7
2016-08-29,5
2016-08-30,5
2016-08-31,4
2016-09-01,5
2016-09-02,4
2016-09-03,5
2016-09-04,5
2016-09-05,5
2016-09-06,4
2016-09-07,4
2016-09-08,5
2016-09-09,6
2016-09-10,6
2016-09-11,6
2016-09-12,7
2016-09-13,10
2016-09-14,8
2016-09-15,14
2016-09-16,16
2016-09-17,15
2016-09-18,14
2016-09-19,9
2016-09-20,10
2016-09-21,9
2016-09-22,12
2016-09-23,11
2016-09-24,12
2016-09-25,11
2016-09-26,7
2016-09-27,6
2016-09-28,7
2016-09-29,7
2016-09-30,7
2016-10-01,9
2016-10-02,9
2016-10-03,7
2016-10-04,6
2016-10-05,6
2016-10-06,6
2016-10-07,6
2016-10-08,8
2016-10-09,8
2016-10-10,7
2016-10-11,6
2016-10-12,7
2016-10-13,6
2016-10-14,7
2016-10-15,8
2016-10-16,8
2016-10-17,7
2016-10-18,7
2016-10-19,7
2016-10-20,9
2016-10-21,8
2016-10-22,10
2016-10-23,10
2016-10-24,8
2016-10-25,9
2016-10-26,8
2016-10-27,8
2016-10-28,9
2016-10-29,13
2016-10-30,12
2016-10-31,9
2016-11-01,10
2016-11-02,10
2016-11-03,11
2016-11-04,12
2016-11-05,14
2016-11-06,15
2016-11-07,13
2016-11-08,15
2016-11-09,11
2016-11-10,14
2016-11-11,16
2016-11-12,21
2016-11-13,24
2016-11-14,18
2016-11-15,24
2016-11-16,25
2016-11-17,25
2016-11-18,33
2016-11-19,45
2016-11-20,48
2016-11-21,45
2016-11-22,55
2016-11-23,100
