Day,Secretlifeofpets
2016-04-08,2
2016-04-09,3
2016-04-10,3
2016-04-11,2
2016-04-12,4
2016-04-13,3
2016-04-14,3
2016-04-15,3
2016-04-16,5
2016-04-17,5
2016-04-18,3
2016-04-19,2
2016-04-20,2
2016-04-21,2
2016-04-22,2
2016-04-23,4
2016-04-24,4
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,2
2016-04-29,3
2016-04-30,4
2016-05-01,4
2016-05-02,2
2016-05-03,2
2016-05-04,2
2016-05-05,2
2016-05-06,3
2016-05-07,4
2016-05-08,4
2016-05-09,3
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,3
2016-05-14,4
2016-05-15,4
2016-05-16,3
2016-05-17,2
2016-05-18,2
2016-05-19,3
2016-05-20,3
2016-05-21,5
2016-05-22,5
2016-05-23,4
2016-05-24,3
2016-05-25,4
2016-05-26,4
2016-05-27,5
2016-05-28,6
2016-05-29,7
2016-05-30,5
2016-05-31,5
2016-06-01,6
2016-06-02,6
2016-06-03,7
2016-06-04,8
2016-06-05,8
2016-06-06,7
2016-06-07,6
2016-06-08,6
2016-06-09,7
2016-06-10,8
2016-06-11,12
2016-06-12,11
2016-06-13,9
2016-06-14,11
2016-06-15,10
2016-06-16,11
2016-06-17,15
2016-06-18,21
2016-06-19,21
2016-06-20,14
2016-06-21,13
2016-06-22,13
2016-06-23,14
2016-06-24,18
2016-06-25,29
2016-06-26,27
2016-06-27,17
2016-06-28,19
2016-06-29,20
2016-06-30,20
2016-07-01,25
2016-07-02,33
2016-07-03,32
2016-07-04,26
2016-07-05,30
2016-07-06,36
2016-07-07,53
2016-07-08,100
