Day,Suicidesquad
2016-05-05,2
2016-05-06,2
2016-05-07,2
2016-05-08,2
2016-05-09,2
2016-05-10,2
2016-05-11,2
2016-05-12,2
2016-05-13,2
2016-05-14,2
2016-05-15,2
2016-05-16,2
2016-05-17,2
2016-05-18,2
2016-05-19,2
2016-05-20,2
2016-05-21,3
2016-05-22,3
2016-05-23,2
2016-05-24,2
2016-05-25,2
2016-05-26,2
2016-05-27,2
2016-05-28,2
2016-05-29,3
2016-05-30,2
2016-05-31,2
2016-06-01,2
2016-06-02,2
2016-06-03,2
2016-06-04,3
2016-06-05,3
2016-06-06,2
2016-06-07,2
2016-06-08,2
2016-06-09,3
2016-06-10,3
2016-06-11,3
2016-06-12,3
2016-06-13,2
2016-06-14,3
2016-06-15,2
2016-06-16,2
2016-06-17,4
2016-06-18,4
2016-06-19,4
2016-06-20,4
2016-06-21,3
2016-06-22,4
2016-06-23,4
2016-06-24,4
2016-06-25,5
2016-06-26,5
2016-06-27,4
2016-06-28,4
2016-06-29,4
2016-06-30,4
2016-07-01,4
2016-07-02,5
2016-07-03,6
2016-07-04,5
2016-07-05,5
2016-07-06,5
2016-07-07,5
2016-07-08,6
2016-07-09,7
2016-07-10,7
2016-07-11,6
2016-07-12,7
2016-07-13,7
2016-07-14,8
2016-07-15,8
2016-07-16,8
2016-07-17,8
2016-07-18,8
2016-07-19,9
2016-07-20,9
2016-07-21,11
2016-07-22,12
2016-07-23,14
2016-07-24,20
2016-07-25,15
2016-07-26,14
2016-07-27,14
2016-07-28,15
2016-07-29,17
2016-07-30,24
2016-07-31,25
2016-08-01,26
2016-08-02,45
2016-08-03,65
2016-08-04,76
2016-08-05,100
