Week,Doctorstrange
2015-11-08,1
2015-11-15,1
2015-11-22,2
2015-11-29,1
2015-12-06,2
2015-12-13,2
2015-12-20,1
2015-12-27,6
2016-01-03,3
2016-01-10,2
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,1
2016-03-06,1
2016-03-13,2
2016-03-20,2
2016-03-27,2
2016-04-03,3
2016-04-10,8
2016-04-17,3
2016-04-24,3
2016-05-01,3
2016-05-08,4
2016-05-15,3
2016-05-22,3
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,2
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,5
2016-07-31,4
2016-08-07,3
2016-08-14,3
2016-08-21,3
2016-08-28,3
2016-09-04,3
2016-09-11,4
2016-09-18,4
2016-09-25,5
2016-10-02,6
2016-10-09,9
2016-10-16,12
2016-10-23,43
2016-10-30,100
